chapter#	sectionfloat	isextra	paragraph
4	0.583333	0	A gyakorlatban a genetikus algoritmusoknak nagy hatása volt az olyan optimalizációs problémákra, mint például az áramkör elrendezéstervezés és a gyártósor-ütemezés. Jelenleg nem világos, hogy a genetikus algoritmusok vonzereje a hatékonyságuk vagy az evolúció elméletében rejlő esztétikus eredetük eredménye. Sok munka van még hátra, hogy azokat a körülményeket azonosítsuk, amikor a genetikus algoritmusok igazán jól teljesítenek.
24	0.166667	1	Egy nemzetközi szabvány, amely megalapozta a filmnélküli radiológia széleskörű elterjedését, és elősegítette, hogy a különböző gyártók eszközei, rendszerei egymással könnyen összekapcsolhatók, egymásra építhetők legyenek. A DICOM szabvány megalkotása azért vált szükségessé hogy lehetővé váljon több gyártótól származó diagnosztikai eszköz, számítástechnikai hardverek összekapcsolását. A DICOM fájlok szabványos és szabad felhasználású mezőkből („tag”-ból) álló fejrészből és a képi adattartalomból épülnek fel. Egyetlen DICOM fájl egy vagy több képet tartalmazhat, kötegek, vagy animációk tárolását oldja meg.
5	0	0	A 3. és a  fejezetben azt az elképzelést jártuk körbe, hogy a problémákat állapottérbeli kereséssel lehet megoldani. A tárgyterületre jellemző heurisztikák segítségével értékelhetjük ezeket az állapotokat és ellenőrizhetjük, hogy nem járunk-e célállapotban. A keresési algoritmus szempontjából azonban mindegyik állapot egy megkülönböztetés nélküli belső struktúrájú fekete doboz (black box). Az állapotokat egy tetszőleges adatstruktúra reprezentálja, amelyhez a problémára jellemző rutinokkal lehet hozzáférni: az állapotátmenet- és a heurisztikafüggvénnyel, valamint a célállapotteszttel.
6	0.1	1	A CHINOOK először 1990-ben nyerte el a jogot, hogy indulhasson egy valódi- emberek elleni világbajnokságon. Itt el is jutott a döntőig, de Tinsley-től kikapott. Legközelebb a már sokkal fejlettebb CHINOOK 1992-ben állt Tinsley-vel szembe, ekkor már egy döntetlenben sikerült kiegyezniük. A legutolsó összecsapás 1994-ben zajlott. Egészségügyi okokra hivatkozva Tinsley-nek félbe kellett hagynia a játékot. Sajnálatos módon a világbajnok pár hónap múlva elhunyt. Lényegében sosem derült ki, hogy a CHINOOK akkori még nem teljes tudásával legyőzte-e volna a valaha élt legnagyobb játékost. 2002 óta pedig nem is engedik, hogy a világbajnokságon gépek is részt vegyenek, mert a nézőközönség számára unalmassá vált, hogy mindig gépek diadalmaskodnak emberek felett [4][5].
9	0.931034	0	Az automata programszintézisről szóló korai munkákat Simon (Simon, 1963), Green (Green, 1969a), valamint Manna és Waldinger (Manna és Waldinger, 1971) készítették. Burstall és Darlington transzformációs rendszere (Burstall és Darlington, 1977) egyenlőség következtetést használt a rekurzív programszintézishez. A Kids (Smith, 1990, 1996) az egyik legerősebb modern rendszer; amely egy szakértő segédeszközként működik. Manna és Waldinger (Manna és Waldinger, 1992) egy áttekintő bevezetést adtak a témakör aktuális helyzetéről fókuszba állítva a saját deduktív megközelítésüket. Az Automating Software Design (Lowry és McCartney, 1991) számos, a témáról szóló tanulmányt gyűjtött össze. A logikának a hardvertervezésben való felhasználásáról Kern és Greenstreet (Kern és Greenstreet, 1999) adott egy áttekintést; Clarke (Clarke és társai, 1999) műve pedig a modellellenőrzéssel foglalkozik a hardververifikálásban.
9	0.448276	0	A  ábra egy egyszerű hátrafelé láncolási algoritmust mutat be, az ERL-HL-Kérdez-t. Az algoritmust célok listájával hívjuk meg, amely kezdetben egy elemet tartalmaz, az eredeti lekérdezést, és az eljárás visszaadja az összes olyan helyettesítéshalmazt, amelyek kielégítik a lekérdezést. A célok listáját úgy tekinthetjük, mint egy feldolgozásra váró „vermet”. A bizonyítás aktuális ága akkor lesz sikeres, ha a verem összes elemét ki tudjuk elégíteni. Az algoritmus először veszi a lista első célját, és megtalálja az öszszes olyan klózt a tudásbázisban, amelynek a pozitív literálja, vagyis a feje (head) egyesíthető a céllal. Minden ilyen klóz létrehóz egy új rekurzív hívást, amelyben a premissza, vagyis a klóz törzse (body) hozzá lesz adva a célveremhez. Emlékezzünk, hogy a tények olyan klózok, amelyeknek fejük van, de törzsük nincs, így amikor egy cél egyesül egy ismert ténnyel, nem adunk új alcélokat a veremhez, és így a célt megoldjuk. A  ábra a Bűnöző(West) származtatásának a bizonyítási fáját mutatja be, a   mondataiból kiindulva a  -en keresztül.  ábra - Egy egyszerű hátrafelé láncolási algoritmus Egy egyszerű hátrafelé láncolási algoritmus  ábra - Egy hátrafelé láncolással létrehozott bizonyítási fa, annak bizonyítására, hogy West egy bűnöző. A fát mélységi kereséssel kell kiértékelni, balról jobbra. Hogy bebizonyítsuk a Bűnöző(West) klózt, be kell bizonyítanunk az alatta elhelyezkedő négy konjunktot is. Néhányan közülük megtalálhatók a tudásbázisban, míg mások további hátrafelé láncolást igényelnek. Mindegy egyes sikeres egyesítés lekötéseit láthatjuk a megfelelő részcél mellett. Jegyezzük meg, hogy mihelyt egy konjunkcióban egy részcél sikeres, helyettesítéseit a következő részcélokhoz alkalmazzuk. Így tehát, mire az ERL-HL-Kérdez eljut az utolsó konjunkcióig, az eredetileg Ellenséges(z)-ig, az már a Nono-hoz lesz lekötve. Egy hátrafelé láncolással létrehozott bizonyítási fa, annak bizonyítására, hogy West egy bűnöző. A fát mélységi kereséssel kell kiértékelni, balról jobbra. Hogy bebizonyítsuk a Bűnöző(West) klózt, be kell bizonyítanunk az alatta elhelyezkedő négy konjunktot is. Néhányan közülük megtalálhatók a tudásbázisban, míg mások további hátrafelé láncolást igényelnek. Mindegy egyes sikeres egyesítés lekötéseit láthatjuk a megfelelő részcél mellett. Jegyezzük meg, hogy mihelyt egy konjunkcióban egy részcél sikeres, helyettesítéseit a következő részcélokhoz alkalmazzuk. Így tehát, mire az ERL-HL-Kérdez eljut az utolsó konjunkcióig, az eredetileg Ellenséges(z)-ig, az már a Nono-hoz lesz lekötve.
3	0.083333	1	Főtárgyszavak (deszkriptorok) száma és több ezerre az utalószavak (nemdeszkriptorok) száma, melyek segítenek a megfelelő tárgyszó megkeresésében, pl. B[6]- vitamin ld. Piridoxin. A szinonimák, rövidítések, eltérő írásmódok beillesztésével, az utaló rendszer kidolgozásával a felhasználó könnyebben jut el a MeSH-hez.
19	0.909091	1	A laboratórium munkaszervezési szempontból egy főműszakban működő és egy másik három műszakos, nonstop módon működtetett „sürgősségi” egységből áll, melyekben a végzett vizsgálatok milyensége és mennyisége döntően a műszerpark és a kórház munkaszervezésének, illetve szervezetének filozófiája szerint tér el.
3	0.958333	0	 Megjegyzés A 3. szakasz - Iteratívan mélyülő mélységi keresés részben az iteratívan megnyúló keresést (iterative lengthening search) említettük, amely az egyenletes költségű keresés iteratív változata. Az ötlet az útköltségre vonatkozó növekvő korlát használata. Egy újonnan generált csomópontot eldobunk, ha az útköltsége a korlátnál nagyobb. A következő iterációban a korlátot az előző iterációban eldobott csomópontok közül a legkisebb útköltségre állítjuk be. a. Mutassa meg, hogy ez az algoritmus általános útköltségek esetén optimális. b. Tekintsen egy homogén fát b elágazási tényezővel, d megoldásmélységgel és egységnyi lépésköltséggel. Hány iterációra lesz szüksége az iteratívan megnyúló keresésnek? c. Most tekintsen egy olyan lépésköltséget, amit a [0, 1] folytonos tartományból sorsolnak, egy minimális pozitív ε költséggel. Hány iterációra lesz szükség a legrosszabb esetben? d. Implementálja az algoritmust és alkalmazza a 8-as játék és az utazó ügynök probléma konkrét eseteire. Hasonlítsa össze az algoritmus hatékonyságát az egyenletes költségű algoritmus hatékonyságával, és értelmezze az eredményeit.
1	0.068966	1	Feltehetjük a kérdést, hogy milyen számításokat lehet elvégezni egy sejtautomata segítségével. Igen érdekes választ kapunk, ha figyelembe vesszük a Wireworld nevű sejtautomatát. Ezt 1987-ben Brian Silverman mutatta be, Phantom Fish Tank nevű programjának részeként. A Wireworld elektronikus logikai elemeket, kapukat szimulál. Tudjuk, hogy a mai számítógépek alapjai ezek a kapuk, és ebből következik, hogy összeállíthatunk egy ilyen számítógépet, amivel tetszőleges számítást elvégezhetünk. Persze ne feledkezzünk meg arról, hogy ez soha nem lesz megfelelő teljesítményű [PWW].
